Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
0,"(25.653609208060253, 140.84842584261781)","(9.618274130120387, 148.370062589113)","(84.4844799257339, 131.11433107796975)","(144.68874680393031, 84.88688575293924)","(187.57813726194289, 109.9281249527481)","(211.86519087445765, 103.48434410860648)","(227.1594277640001, 104.22565570613598)","(204.0083943617022, 60.85324309761343)","(208.41424747053574, 69.65074615992843)","(298.51420770940155, 74.04600271828788)","(349.36734122689234, 74.47412270267615)","(358.0559853280994, 60.20442352089098)","(350.80885271757677, 46.91491008298931)","(354.76456060560724, 39.32138634807482)","(377.52225963440765, 46.75419838134657)","(419.0975688221885, 40.186212789359296)","(428.14410781713394, 41.60780339035098)"
1,"(25.653609208060253, 140.84842584261781)","(9.618274130120387, 148.370062589113)","(84.4844799257339, 131.11433107796975)","(144.68874680393031, 84.88688575293924)","(187.57813726194289, 109.9281249527481)","(211.86519087445765, 103.48434410860648)","(227.1594277640001, 104.22565570613598)","(204.0083943617022, 60.85324309761343)","(208.41424747053574, 69.65074615992843)","(298.51420770940155, 74.04600271828788)","(349.36734122689234, 74.47412270267615)","(358.0559853280994, 60.20442352089098)","(350.80885271757677, 46.91491008298931)","(354.76456060560724, 39.32138634807482)","(377.52225963440765, 46.75419838134657)","(419.0975688221885, 40.186212789359296)","(428.14410781713394, 41.60780339035098)"
2,"(25.646714785642835, 140.85414769935397)","(9.611579898583576, 148.37296325518233)","(84.48946464515143, 131.1184174972651)","(144.59138356425328, 84.87864808122869)","(187.5717117347987, 109.93428320730452)","(211.86045411592542, 103.47941573786369)","(227.14790326117185, 104.25427515350967)","(204.05178760263217, 60.929967434013186)","(208.4397433823274, 69.65820366593722)","(298.5143078283129, 74.04719018713284)","(349.3805652173711, 74.45486891947151)","(358.0589278125639, 60.213831292388384)","(350.80390766025283, 46.9208860474997)","(354.763708627813, 39.3127698361103)","(377.5199297191725, 46.76447526202103)","(419.1880516116827, 40.2170581815989)","(428.1703195492958, 41.6034578720052)"
3,"(25.65377363640409, 140.85475077760003)","(9.616706164618284, 148.37610524095516)","(84.46989395647668, 131.1128756523637)","(144.69377633500827, 84.89845000008289)","(187.57751158398358, 109.93350761032953)","(211.8601396067941, 103.48553273432078)","(227.14704279257708, 104.21205293058357)","(203.96318047655166, 60.91321831144722)","(208.41460196080786, 69.662357909982)","(298.51708022670203, 74.04706893534373)","(349.3749290019022, 74.4508118238191)","(358.0611472749463, 60.221991701835655)","(350.8082438751977, 46.920894692248794)","(354.7708872450687, 39.31318611025893)","(377.53350893865553, 46.766062228629444)","(419.20427600529604, 40.18914795864493)","(428.1470658763451, 41.61721136719629)"
4,"(25.653983683150727, 140.8588171417857)","(9.611709373195813, 148.37681912268118)","(84.46753113478597, 131.10321224738993)","(144.6908290628722, 84.91067920424055)","(187.57109632044228, 109.94114160289442)","(211.86115562294603, 103.49634611741361)","(227.18993991702843, 104.27011649393657)","(203.9813422858939, 60.88358707478332)","(208.4373530887197, 69.66606331098019)","(298.5070637948813, 74.05667581439448)","(349.3128685264057, 74.47605222101657)","(358.0544707179408, 60.219870285313746)","(350.8004967786797, 46.92472030706185)","(354.73805877141547, 39.3130681382126)","(377.5364329802458, 46.78174976590625)","(419.1490028166573, 40.21418028121246)","(428.11546397768205, 41.62928458009445)"
5,"(25.651025323460946, 140.86209501222658)","(9.610981274319615, 148.3832260827636)","(84.47152805942561, 131.10183086616473)","(144.6415279495887, 84.90743269227595)","(187.57499462835258, 109.93442757468297)","(211.85971176817722, 103.49255577875441)","(227.13055086168362, 104.25716594009657)","(204.02285620246045, 60.93709703690388)","(208.44505342407626, 69.65458099627406)","(298.5011656430539, 74.04944650195955)","(349.3579685908053, 74.47448207813635)","(358.04999208406934, 60.19637003993149)","(350.8000689530568, 46.9265104133683)","(354.74922651805133, 39.30858013539747)","(377.50962837151997, 46.77822353315029)","(419.2037053966611, 40.18615748007937)","(428.14392301008496, 41.6417627092105)"
6,"(25.640354757201727, 140.86629712460964)","(9.604486400637144, 148.37997964360986)","(84.49006930516364, 131.1062462347536)","(144.66608598792598, 84.90610574598435)","(187.5674046631736, 109.93786635043621)","(211.85427899284474, 103.4970896320377)","(227.1562870185437, 104.26881563711434)","(204.0015128859158, 60.92643988278884)","(208.39241203259684, 69.66199468525846)","(298.4982049918545, 74.05566573578386)","(349.37841115381235, 74.44470642360643)","(358.03481617628967, 60.20931873996561)","(350.8001815685607, 46.926322226042025)","(354.74793577454335, 39.32085276047919)","(377.50940111400223, 46.77526458104682)","(419.1949833703077, 40.21671890209693)","(428.1156000352507, 41.65058379514812)"
7,"(25.640340676602438, 140.86668577214368)","(9.603662000814461, 148.38359554185584)","(84.49834579584818, 131.10627892689342)","(144.65397234285356, 84.90758563802305)","(187.57077428170652, 109.93850524302472)","(211.8551369029868, 103.50047862023082)","(227.1724770115241, 104.22154166974519)","(203.98714782107547, 60.92971464281719)","(208.38072808765006, 69.65692499356416)","(298.4973265323108, 74.06104707049776)","(349.3764543979691, 74.51857795063128)","(358.04903841390586, 60.19799453661993)","(350.7970274928363, 46.924721647744704)","(354.7482362813575, 39.31278861458303)","(377.4980242824748, 46.775752260839994)","(419.1185840463218, 40.14807461631003)","(428.1261343403598, 41.649934331893284)"
8,"(25.641605935404147, 140.87181177768292)","(9.604511415262444, 148.38894082690345)","(84.52868577947002, 131.1171236507905)","(144.66980424383715, 84.92000831843743)","(187.57005531943415, 109.95050033895737)","(211.8505101212555, 103.49821545097218)","(227.144502154172, 104.23791891477484)","(204.0489100309307, 60.886758650721326)","(208.4068065097804, 69.67519835725646)","(298.4917630057522, 74.04969072152146)","(349.41410331871214, 74.47225014264271)","(358.0523375945032, 60.214688699845624)","(350.7975484913151, 46.93261834871898)","(354.7399497740026, 39.31157981469691)","(377.5118431963889, 46.770676846107044)","(419.14634932519226, 40.213766675065145)","(428.14515506683716, 41.62785790876962)"
9,"(25.637421611983903, 140.8752474625752)","(9.601592906426385, 148.40164483343057)","(84.51814190817916, 131.11433973208494)","(144.6752166650645, 84.91758237731085)","(187.56457499747475, 109.95199699257863)","(211.8467278538558, 103.50395858045124)","(227.14530709283838, 104.24424678453899)","(203.95024047673934, 60.85727134477541)","(208.40142377111297, 69.67439874532033)","(298.4868550764466, 74.05338806981193)","(349.39891144730996, 74.46256404412074)","(358.026129346187, 60.213704345753975)","(350.79030633755934, 46.93409758758423)","(354.74688939862136, 39.334434261535776)","(377.5088675950019, 46.79180383338372)","(419.073256874466, 40.23436452304508)","(428.1333321283205, 41.643427628951365)"
